timestamp,participant_id,round,role,word_type,board,targets,bomb,hint,hint_number,intended_targets,guesses,interaction_history,turns,targets_found,correct,bomb_hit,medal,score_change,response_time_sec,perception_rating
2026-05-01T22:34:42.557011,Shima,1,human_clue,abstract,strike;time;degree;break;shadow;secret;hide;price;memory;light;love;melody,price;break;strike;hide,memory,notfind,1,"[['price', 'strike'], ['strike', 'break'], ['hide']]",price;secret;strike;break;memory,"[{'hint': 'salary', 'hint_number': 2, 'intended_targets': ['price', 'strike'], 'guesses': ['price', 'secret'], 'correct': True, 'correct_guesses': ['price'], 'bomb_hit': False}, {'hint': 'deutschbahn', 'hint_number': 2, 'intended_targets': ['strike', 'break'], 'guesses': ['strike', 'break'], 'correct': True, 'correct_guesses': ['strike', 'break'], 'bomb_hit': False}, {'hint': 'notfind', 'hint_number': 1, 'intended_targets': ['hide'], 'guesses': ['memory'], 'correct': False, 'correct_guesses': [], 'bomb_hit': True}]",3,3,1,1,none,0,174.424158,3
2026-05-01T22:36:24.225957,Shima,2,ai_clue,concrete,wood;sugar;bubble;octopus;kiwi;book;ice;bowl;lemon;sword;tie;skyscraper,book;bowl;kiwi;wood,octopus,dish,1,"[['kiwi'], ['book', 'wood', 'bowl'], ['bowl']]",kiwi;book;wood;skyscraper;bowl,"[{'hint': 'fruit', 'hint_number': 1, 'intended_targets': ['kiwi'], 'guesses': ['kiwi'], 'correct': True, 'correct_guesses': ['kiwi'], 'bomb_hit': False}, {'hint': 'read', 'hint_number': 3, 'intended_targets': ['book', 'wood', 'bowl'], 'guesses': ['book', 'wood', 'skyscraper'], 'correct': True, 'correct_guesses': ['book', 'wood'], 'bomb_hit': False}, {'hint': 'dish', 'hint_number': 1, 'intended_targets': ['bowl'], 'guesses': ['bowl'], 'correct': True, 'correct_guesses': ['bowl'], 'bomb_hit': False}]",3,4,1,0,silver,4,101.590353,5
2026-05-01T22:38:53.993445,Shima,3,human_clue,concrete,cotton;baby;cat;tie;bowl;sun;leather;ice;ketchup;bubble;skyscraper;wood,sun;bowl;ketchup;skyscraper,wood,tower,1,"[['ketchup', 'bowl'], ['skyscraper', 'sun'], ['skyscraper']]",ketchup;bowl;sun;ice;skyscraper,"[{'hint': 'food', 'hint_number': 2, 'intended_targets': ['ketchup', 'bowl'], 'guesses': ['ketchup', 'bowl'], 'correct': True, 'correct_guesses': ['ketchup', 'bowl'], 'bomb_hit': False}, {'hint': 'himmel', 'hint_number': 2, 'intended_targets': ['skyscraper', 'sun'], 'guesses': ['sun', 'ice'], 'correct': True, 'correct_guesses': ['sun'], 'bomb_hit': False}, {'hint': 'tower', 'hint_number': 1, 'intended_targets': ['skyscraper'], 'guesses': ['skyscraper'], 'correct': True, 'correct_guesses': ['skyscraper'], 'bomb_hit': False}]",3,4,1,0,silver,4,149.689897,5
2026-05-01T22:39:43.849591,Shima,4,ai_clue,abstract,smile;memory;respect;soul;link;time;strike;melody;luck;secret;wish;surprise,melody;wish;memory;secret,luck,fantasy,3,"[['melody', 'wish', 'memory'], ['melody', 'wish', 'memory']]",secret;surprise;link;melody;wish;luck,"[{'hint': 'hint', 'hint_number': 3, 'intended_targets': ['melody', 'wish', 'memory'], 'guesses': ['secret', 'surprise', 'link'], 'correct': True, 'correct_guesses': ['secret'], 'bomb_hit': False}, {'hint': 'fantasy', 'hint_number': 3, 'intended_targets': ['melody', 'wish', 'memory'], 'guesses': ['melody', 'wish', 'luck'], 'correct': True, 'correct_guesses': ['melody', 'wish'], 'bomb_hit': True}]",2,3,1,1,none,0,49.784052,2
2026-05-01T22:55:15.194098,Siyavash,1,human_clue,abstract,break;game;love;light;memory;birth;hide;hero;degree;price;shadow;time,break;hide;hero;time,game,class,2,"[['time', 'break']]",game;degree,"[{'hint': 'class', 'hint_number': 2, 'intended_targets': ['time', 'break'], 'guesses': ['game', 'degree'], 'correct': False, 'correct_guesses': [], 'bomb_hit': True}]",1,0,0,1,none,0,118.238007,3
2026-05-01T22:57:18.936626,Siyavash,2,human_clue,concrete,sword;skyscraper;baby;wood;water;tie;ball;sun;octopus;ketchup;purse;bubble,tie;sword;skyscraper;sun,baby,high,2,"[['sword', 'skyscraper'], ['skyscraper', 'sun']]",sword;tie;skyscraper;sun,"[{'hint': 'blade', 'hint_number': 2, 'intended_targets': ['sword', 'skyscraper'], 'guesses': ['sword', 'tie'], 'correct': True, 'correct_guesses': ['sword', 'tie'], 'bomb_hit': False}, {'hint': 'high', 'hint_number': 2, 'intended_targets': ['skyscraper', 'sun'], 'guesses': ['skyscraper', 'sun'], 'correct': True, 'correct_guesses': ['skyscraper', 'sun'], 'bomb_hit': False}]",2,4,1,0,gold,5,123.663515,5
2026-05-01T22:59:07.830255,Siyavash,3,human_clue,abstract,hide;time;surprise;soul;luck;light;degree;melody;break;wake;game;price,break;melody;wake;time,game,music,1,"[['time', 'wake', 'melody', 'break'], ['melody']]",wake;break;time;hide;melody,"[{'hint': 'nap', 'hint_number': 4, 'intended_targets': ['time', 'wake', 'melody', 'break'], 'guesses': ['wake', 'break', 'time', 'hide'], 'correct': True, 'correct_guesses': ['wake', 'break', 'time'], 'bomb_hit': False}, {'hint': 'music', 'hint_number': 1, 'intended_targets': ['melody'], 'guesses': ['melody'], 'correct': True, 'correct_guesses': ['melody'], 'bomb_hit': False}]",2,4,1,0,gold,5,108.848629,5
2026-05-01T23:01:13.807559,Siyavash,4,human_clue,concrete,popcorn;tie;igloo;towel;skyscraper;purse;lemon;leather;baby;bubble;sun;book,bubble;lemon;baby;book,popcorn,recipe,2,"[['baby', 'book'], ['book', 'lemon']]",baby;bubble;book;lemon,"[{'hint': 'lullaby', 'hint_number': 2, 'intended_targets': ['baby', 'book'], 'guesses': ['baby', 'bubble'], 'correct': True, 'correct_guesses': ['baby', 'bubble'], 'bomb_hit': False}, {'hint': 'recipe', 'hint_number': 2, 'intended_targets': ['book', 'lemon'], 'guesses': ['book', 'lemon'], 'correct': True, 'correct_guesses': ['book', 'lemon'], 'bomb_hit': False}]",2,4,1,0,gold,5,125.932301,5
2026-05-01T23:02:32.998472,Siyavash,5,ai_clue,abstract,birth;capital;strike;luck;degree;hide;smile;hero;soul;light;memory;wish,soul;degree;memory;hero,luck,remember,1,"[['soul', 'hero'], ['degree', 'memory', 'hero'], ['memory']]",soul;smile;degree;hero;light;memory,"[{'hint': 'spirit', 'hint_number': 2, 'intended_targets': ['soul', 'hero'], 'guesses': ['soul', 'smile'], 'correct': True, 'correct_guesses': ['soul'], 'bomb_hit': False}, {'hint': 'mentor', 'hint_number': 3, 'intended_targets': ['degree', 'memory', 'hero'], 'guesses': ['degree', 'hero', 'light'], 'correct': True, 'correct_guesses': ['degree', 'hero'], 'bomb_hit': False}, {'hint': 'remember', 'hint_number': 1, 'intended_targets': ['memory'], 'guesses': ['memory'], 'correct': True, 'correct_guesses': ['memory'], 'bomb_hit': False}]",3,4,1,0,silver,4,79.1196,3
2026-05-01T23:03:08.786030,Siyavash,6,ai_clue,concrete,kiwi;wood;ice;water;skyscraper;bubble;sugar;soup;sun;ketchup;bowl;baby,bowl;sugar;baby;wood,kiwi,dessert,2,"[['sugar', 'bowl']]",sugar;kiwi,"[{'hint': 'dessert', 'hint_number': 2, 'intended_targets': ['sugar', 'bowl'], 'guesses': ['sugar', 'kiwi'], 'correct': True, 'correct_guesses': ['sugar'], 'bomb_hit': True}]",1,1,1,1,none,0,35.673547,2
2026-05-01T23:03:53.014525,Siyavash,7,ai_clue,abstract,game;link;strike;price;time;ghost;birth;hero;hide;light;capital;degree,strike;game;hero;birth,time,valor,1,"[['game', 'hero'], ['hero', 'birth'], ['hero']]",game;strike;birth;ghost;hero,"[{'hint': 'play', 'hint_number': 2, 'intended_targets': ['game', 'hero'], 'guesses': ['game', 'strike'], 'correct': True, 'correct_guesses': ['game', 'strike'], 'bomb_hit': False}, {'hint': 'life', 'hint_number': 2, 'intended_targets': ['hero', 'birth'], 'guesses': ['birth', 'ghost'], 'correct': True, 'correct_guesses': ['birth'], 'bomb_hit': False}, {'hint': 'valor', 'hint_number': 1, 'intended_targets': ['hero'], 'guesses': ['hero'], 'correct': True, 'correct_guesses': ['hero'], 'bomb_hit': False}]",3,4,1,0,silver,4,44.180616,4
2026-05-01T23:04:42.349854,Siyavash,8,ai_clue,concrete,igloo;octopus;sword;bubble;ketchup;kiwi;sun;leather;water;sugar;wood;soup,igloo;soup;sword;water,octopus,hilt,1,"[['igloo', 'soup'], ['soup', 'sword'], ['sword']]",igloo;water;soup;wood;sword,"[{'hint': 'cold', 'hint_number': 2, 'intended_targets': ['igloo', 'soup'], 'guesses': ['igloo', 'water'], 'correct': True, 'correct_guesses': ['igloo', 'water'], 'bomb_hit': False}, {'hint': 'bowl', 'hint_number': 2, 'intended_targets': ['soup', 'sword'], 'guesses': ['soup', 'wood'], 'correct': True, 'correct_guesses': ['soup'], 'bomb_hit': False}, {'hint': 'hilt', 'hint_number': 1, 'intended_targets': ['sword'], 'guesses': ['sword'], 'correct': True, 'correct_guesses': ['sword'], 'bomb_hit': False}]",3,4,1,0,silver,4,49.291056,3
2026-05-01T23:28:45.859432,Shima,1,human_clue,abstract,light;secret;smile;surprise;break;wake;game;shadow;hero;ghost;melody;time,ghost;wake;light;melody,time,lullaby,2,"[[""light"", ""wake""], [""wake"", ""ghost""], [""melody"", ""wake""]]",light;shadow;ghost;surprise;melody;wake,"[{""turn"": 1, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""sunshine"", ""hint_number"": 2, ""intended_targets"": [""light"", ""wake""], ""guesses"": [""light"", ""shadow""], ""correct_guesses"": [""light""], ""missed_intended_targets"": [""wake""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""shadow""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 2, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""nightmare"", ""hint_number"": 2, ""intended_targets"": [""wake"", ""ghost""], ""guesses"": [""ghost"", ""surprise""], ""correct_guesses"": [""ghost""], ""missed_intended_targets"": [""wake""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""surprise""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 3, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""lullaby"", ""hint_number"": 2, ""intended_targets"": [""melody"", ""wake""], ""guesses"": [""melody"", ""wake""], ""correct_guesses"": [""melody"", ""wake""], ""missed_intended_targets"": [], ""extra_correct_guesses"": [], ""neutral_guesses"": [], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}]",3,4,1,0,silver,4,164.742723,3
2026-05-01T23:31:25.831446,Shima,2,ai_clue,concrete,purse;sword;cotton;skyscraper;bubble;ball;sugar;cat;ice;popcorn;towel;bowl,popcorn;sugar;sword;bubble,purse,cluster,2,"[[""popcorn"", ""sugar""], [""sugar"", ""bubble""], [""sword"", ""bubble""], [""sword"", ""bubble""]]",popcorn;bowl;sugar;cotton;skyscraper;ice;bubble;towel,"[{""turn"": 1, ""clue_giver"": ""ai"", ""guesser"": ""human"", ""hint"": ""snack"", ""hint_number"": 2, ""intended_targets"": [""popcorn"", ""sugar""], ""guesses"": [""popcorn"", ""bowl""], ""correct_guesses"": [""popcorn""], ""missed_intended_targets"": [""sugar""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""bowl""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 2, ""clue_giver"": ""ai"", ""guesser"": ""human"", ""hint"": ""sweet"", ""hint_number"": 2, ""intended_targets"": [""sugar"", ""bubble""], ""guesses"": [""sugar"", ""cotton""], ""correct_guesses"": [""sugar""], ""missed_intended_targets"": [""bubble""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""cotton""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 3, ""clue_giver"": ""ai"", ""guesser"": ""human"", ""hint"": ""cluster"", ""hint_number"": 2, ""intended_targets"": [""sword"", ""bubble""], ""guesses"": [""skyscraper"", ""ice""], ""correct_guesses"": [], ""missed_intended_targets"": [""sword"", ""bubble""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""skyscraper"", ""ice""], ""bomb_guess"": null, ""outcome"": ""wrong"", ""bomb_hit"": false}, {""turn"": 4, ""clue_giver"": ""ai"", ""guesser"": ""human"", ""hint"": ""cluster"", ""hint_number"": 2, ""intended_targets"": [""sword"", ""bubble""], ""guesses"": [""bubble"", ""towel""], ""correct_guesses"": [""bubble""], ""missed_intended_targets"": [""sword""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""towel""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}]",4,3,1,0,none,0,159.878008,3
2026-05-01T23:33:37.187525,Shima,3,human_clue,abstract,wish;price;love;degree;strike;hide;birth;capital;link;soul;luck;memory,memory;luck;link;price,hide,connect,1,"[[""price"", ""memory""], [""link"", ""luck""], [""link""]]",price;capital;luck;memory;link,"[{""turn"": 1, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""inflation"", ""hint_number"": 2, ""intended_targets"": [""price"", ""memory""], ""guesses"": [""price"", ""capital""], ""correct_guesses"": [""price""], ""missed_intended_targets"": [""memory""], ""extra_correct_guesses"": [], ""neutral_guesses"": [""capital""], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 2, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""gaming"", ""hint_number"": 2, ""intended_targets"": [""link"", ""luck""], ""guesses"": [""luck"", ""memory""], ""correct_guesses"": [""luck"", ""memory""], ""missed_intended_targets"": [""link""], ""extra_correct_guesses"": [""memory""], ""neutral_guesses"": [], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}, {""turn"": 3, ""clue_giver"": ""human"", ""guesser"": ""ai"", ""hint"": ""connect"", ""hint_number"": 1, ""intended_targets"": [""link""], ""guesses"": [""link""], ""correct_guesses"": [""link""], ""missed_intended_targets"": [], ""extra_correct_guesses"": [], ""neutral_guesses"": [], ""bomb_guess"": null, ""outcome"": ""correct"", ""bomb_hit"": false}]",3,4,1,0,silver,4,131.310611,5
